,From,To,Type
213,"(3, 7, 5)","(3, 8, 5)",Move data
214,"(3, 8, 4)","(3, 8, 5)",Move data
215,"(2, 8, 6)","(3, 8, 6)",Move data
216,"(3, 7, 6)","(3, 8, 6)",Move data
217,"(3, 8, 5)","(3, 8, 6)",Move data
218,"(2, 8, 7)","(3, 8, 7)",Move data
219,"(3, 7, 7)","(3, 8, 7)",Move data
220,"(3, 8, 6)","(3, 8, 7)",Move data
221,"(2, 8, 8)","(3, 8, 8)",Move data
222,"(3, 8, 7)","(3, 8, 8)",Move data
223,"(3, 8, 8)","(3, 8, 8)",Calculate
224,"(3, 4, 4)","(4, 4, 4)",Move data
225,"(3, 5, 4)","(4, 5, 4)",Move data
226,"(4, 4, 4)","(4, 5, 4)",Move data
227,"(3, 5, 5)","(4, 5, 5)",Move data
228,"(4, 5, 4)","(4, 5, 5)",Move data
229,"(4, 5, 5)","(4, 5, 5)",Calculate
230,"(3, 6, 4)","(4, 6, 4)",Move data
231,"(4, 5, 4)","(4, 6, 4)",Move data
232,"(3, 6, 5)","(4, 6, 5)",Move data
233,"(4, 5, 5)","(4, 6, 5)",Move data
234,"(4, 6, 4)","(4, 6, 5)",Move data
235,"(3, 6, 6)","(4, 6, 6)",Move data
236,"(4, 6, 5)","(4, 6, 6)",Move data
237,"(4, 6, 6)","(4, 6, 6)",Calculate
238,"(3, 7, 4)","(4, 7, 4)",Move data
239,"(4, 6, 4)","(4, 7, 4)",Move data
240,"(3, 7, 5)","(4, 7, 5)",Move data
241,"(4, 6, 5)","(4, 7, 5)",Move data
242,"(4, 7, 4)","(4, 7, 5)",Move data
243,"(3, 7, 6)","(4, 7, 6)",Move data
244,"(4, 6, 6)","(4, 7, 6)",Move data
245,"(4, 7, 5)","(4, 7, 6)",Move data
246,"(3, 7, 7)","(4, 7, 7)",Move data
247,"(4, 7, 6)","(4, 7, 7)",Move data
248,"(4, 7, 7)","(4, 7, 7)",Calculate
249,"(3, 8, 4)","(4, 8, 4)",Move data
250,"(4, 7, 4)","(4, 8, 4)",Move data
251,"(3, 8, 5)","(4, 8, 5)",Move data
252,"(4, 7, 5)","(4, 8, 5)",Move data
253,"(4, 8, 4)","(4, 8, 5)",Move data
254,"(3, 8, 6)","(4, 8, 6)",Move data
255,"(4, 7, 6)","(4, 8, 6)",Move data
256,"(4, 8, 5)","(4, 8, 6)",Move data
257,"(3, 8, 7)","(4, 8, 7)",Move data
258,"(4, 7, 7)","(4, 8, 7)",Move data
259,"(4, 8, 6)","(4, 8, 7)",Move data
260,"(3, 8, 8)","(4, 8, 8)",Move data
261,"(4, 8, 7)","(4, 8, 8)",Move data
262,"(4, 8, 8)","(4, 8, 8)",Calculate
263,"(4, 5, 5)","(5, 5, 5)",Move data
264,"(4, 6, 5)","(5, 6, 5)",Move data
265,"(5, 5, 5)","(5, 6, 5)",Move data
266,"(4, 6, 6)","(5, 6, 6)",Move data
267,"(5, 6, 5)","(5, 6, 6)",Move data
268,"(5, 6, 6)","(5, 6, 6)",Calculate
269,"(4, 7, 5)","(5, 7, 5)",Move data
270,"(5, 6, 5)","(5, 7, 5)",Move data
271,"(4, 7, 6)","(5, 7, 6)",Move data
272,"(5, 6, 6)","(5, 7, 6)",Move data
273,"(5, 7, 5)","(5, 7, 6)",Move data
274,"(4, 7, 7)","(5, 7, 7)",Move data
275,"(5, 7, 6)","(5, 7, 7)",Move data
276,"(5, 7, 7)","(5, 7, 7)",Calculate
277,"(4, 8, 5)","(5, 8, 5)",Move data
278,"(5, 7, 5)","(5, 8, 5)",Move data
279,"(4, 8, 6)","(5, 8, 6)",Move data
280,"(5, 7, 6)","(5, 8, 6)",Move data
281,"(5, 8, 5)","(5, 8, 6)",Move data
282,"(4, 8, 7)","(5, 8, 7)",Move data
283,"(5, 7, 7)","(5, 8, 7)",Move data
284,"(5, 8, 6)","(5, 8, 7)",Move data
285,"(4, 8, 8)","(5, 8, 8)",Move data
286,"(5, 8, 7)","(5, 8, 8)",Move data
287,"(5, 8, 8)","(5, 8, 8)",Calculate
288,"(5, 6, 6)","(6, 6, 6)",Move data
289,"(5, 7, 6)","(6, 7, 6)",Move data
290,"(6, 6, 6)","(6, 7, 6)",Move data
291,"(5, 7, 7)","(6, 7, 7)",Move data
292,"(6, 7, 6)","(6, 7, 7)",Move data
293,"(6, 7, 7)","(6, 7, 7)",Calculate
294,"(5, 8, 6)","(6, 8, 6)",Move data
295,"(6, 7, 6)","(6, 8, 6)",Move data
296,"(5, 8, 7)","(6, 8, 7)",Move data
297,"(6, 7, 7)","(6, 8, 7)",Move data
298,"(6, 8, 6)","(6, 8, 7)",Move data
299,"(5, 8, 8)","(6, 8, 8)",Move data
300,"(6, 8, 7)","(6, 8, 8)",Move data
301,"(6, 8, 8)","(6, 8, 8)",Calculate
302,"(6, 7, 7)","(7, 7, 7)",Move data
303,"(6, 8, 7)","(7, 8, 7)",Move data
304,"(7, 7, 7)","(7, 8, 7)",Move data
305,"(6, 8, 8)","(7, 8, 8)",Move data
306,"(7, 8, 7)","(7, 8, 8)",Move data
307,"(7, 8, 8)","(7, 8, 8)",Calculate
308,"(7, 8, 8)","(8, 8, 8)",Move data
309,"(8, 8, 8)","(8, 8, 8)",Calculate
