,From,To,Type
213,"(2, 7, 6)","(2, 8, 6)",Move data
214,"(2, 8, 5)","(2, 8, 6)",Move data
215,"(1, 8, 7)","(2, 8, 7)",Move data
216,"(2, 7, 7)","(2, 8, 7)",Move data
217,"(2, 8, 6)","(2, 8, 7)",Move data
218,"(1, 8, 8)","(2, 8, 8)",Move data
219,"(2, 8, 7)","(2, 8, 8)",Move data
220,"(2, 8, 8)","(2, 8, 8)",Calculate
221,"(1, 9, 2)","(2, 9, 2)",Move data
222,"(2, 8, 2)","(2, 9, 2)",Move data
223,"(1, 9, 3)","(2, 9, 3)",Move data
224,"(2, 8, 3)","(2, 9, 3)",Move data
225,"(2, 9, 2)","(2, 9, 3)",Move data
226,"(1, 9, 4)","(2, 9, 4)",Move data
227,"(2, 8, 4)","(2, 9, 4)",Move data
228,"(2, 9, 3)","(2, 9, 4)",Move data
229,"(1, 9, 5)","(2, 9, 5)",Move data
230,"(2, 8, 5)","(2, 9, 5)",Move data
231,"(2, 9, 4)","(2, 9, 5)",Move data
232,"(1, 9, 6)","(2, 9, 6)",Move data
233,"(2, 8, 6)","(2, 9, 6)",Move data
234,"(2, 9, 5)","(2, 9, 6)",Move data
235,"(1, 9, 7)","(2, 9, 7)",Move data
236,"(2, 8, 7)","(2, 9, 7)",Move data
237,"(2, 9, 6)","(2, 9, 7)",Move data
238,"(1, 9, 8)","(2, 9, 8)",Move data
239,"(2, 8, 8)","(2, 9, 8)",Move data
240,"(2, 9, 7)","(2, 9, 8)",Move data
241,"(1, 9, 9)","(2, 9, 9)",Move data
242,"(2, 9, 8)","(2, 9, 9)",Move data
243,"(2, 9, 9)","(2, 9, 9)",Calculate
244,"(1, 10, 2)","(2, 10, 2)",Move data
245,"(2, 9, 2)","(2, 10, 2)",Move data
246,"(1, 10, 3)","(2, 10, 3)",Move data
247,"(2, 9, 3)","(2, 10, 3)",Move data
248,"(2, 10, 2)","(2, 10, 3)",Move data
249,"(1, 10, 4)","(2, 10, 4)",Move data
250,"(2, 9, 4)","(2, 10, 4)",Move data
251,"(2, 10, 3)","(2, 10, 4)",Move data
252,"(1, 10, 5)","(2, 10, 5)",Move data
253,"(2, 9, 5)","(2, 10, 5)",Move data
254,"(2, 10, 4)","(2, 10, 5)",Move data
255,"(1, 10, 6)","(2, 10, 6)",Move data
256,"(2, 9, 6)","(2, 10, 6)",Move data
257,"(2, 10, 5)","(2, 10, 6)",Move data
258,"(1, 10, 7)","(2, 10, 7)",Move data
259,"(2, 9, 7)","(2, 10, 7)",Move data
260,"(2, 10, 6)","(2, 10, 7)",Move data
261,"(1, 10, 8)","(2, 10, 8)",Move data
262,"(2, 9, 8)","(2, 10, 8)",Move data
263,"(2, 10, 7)","(2, 10, 8)",Move data
264,"(1, 10, 9)","(2, 10, 9)",Move data
265,"(2, 9, 9)","(2, 10, 9)",Move data
266,"(2, 10, 8)","(2, 10, 9)",Move data
267,"(1, 10, 10)","(2, 10, 10)",Move data
268,"(2, 10, 9)","(2, 10, 10)",Move data
269,"(2, 10, 10)","(2, 10, 10)",Calculate
270,"(2, 3, 3)","(3, 3, 3)",Move data
271,"(2, 4, 3)","(3, 4, 3)",Move data
272,"(3, 3, 3)","(3, 4, 3)",Move data
273,"(2, 4, 4)","(3, 4, 4)",Move data
274,"(3, 4, 3)","(3, 4, 4)",Move data
275,"(3, 4, 4)","(3, 4, 4)",Calculate
276,"(2, 5, 3)","(3, 5, 3)",Move data
277,"(3, 4, 3)","(3, 5, 3)",Move data
278,"(2, 5, 4)","(3, 5, 4)",Move data
279,"(3, 4, 4)","(3, 5, 4)",Move data
280,"(3, 5, 3)","(3, 5, 4)",Move data
281,"(2, 5, 5)","(3, 5, 5)",Move data
282,"(3, 5, 4)","(3, 5, 5)",Move data
283,"(3, 5, 5)","(3, 5, 5)",Calculate
284,"(2, 6, 3)","(3, 6, 3)",Move data
285,"(3, 5, 3)","(3, 6, 3)",Move data
286,"(2, 6, 4)","(3, 6, 4)",Move data
287,"(3, 5, 4)","(3, 6, 4)",Move data
288,"(3, 6, 3)","(3, 6, 4)",Move data
289,"(2, 6, 5)","(3, 6, 5)",Move data
290,"(3, 5, 5)","(3, 6, 5)",Move data
291,"(3, 6, 4)","(3, 6, 5)",Move data
292,"(2, 6, 6)","(3, 6, 6)",Move data
293,"(3, 6, 5)","(3, 6, 6)",Move data
294,"(3, 6, 6)","(3, 6, 6)",Calculate
295,"(2, 7, 3)","(3, 7, 3)",Move data
296,"(3, 6, 3)","(3, 7, 3)",Move data
297,"(2, 7, 4)","(3, 7, 4)",Move data
298,"(3, 6, 4)","(3, 7, 4)",Move data
299,"(3, 7, 3)","(3, 7, 4)",Move data
300,"(2, 7, 5)","(3, 7, 5)",Move data
301,"(3, 6, 5)","(3, 7, 5)",Move data
302,"(3, 7, 4)","(3, 7, 5)",Move data
303,"(2, 7, 6)","(3, 7, 6)",Move data
304,"(3, 6, 6)","(3, 7, 6)",Move data
305,"(3, 7, 5)","(3, 7, 6)",Move data
306,"(2, 7, 7)","(3, 7, 7)",Move data
307,"(3, 7, 6)","(3, 7, 7)",Move data
308,"(3, 7, 7)","(3, 7, 7)",Calculate
309,"(2, 8, 3)","(3, 8, 3)",Move data
310,"(3, 7, 3)","(3, 8, 3)",Move data
311,"(2, 8, 4)","(3, 8, 4)",Move data
312,"(3, 7, 4)","(3, 8, 4)",Move data
313,"(3, 8, 3)","(3, 8, 4)",Move data
314,"(2, 8, 5)","(3, 8, 5)",Move data
315,"(3, 7, 5)","(3, 8, 5)",Move data
316,"(3, 8, 4)","(3, 8, 5)",Move data
317,"(2, 8, 6)","(3, 8, 6)",Move data
318,"(3, 7, 6)","(3, 8, 6)",Move data
319,"(3, 8, 5)","(3, 8, 6)",Move data
320,"(2, 8, 7)","(3, 8, 7)",Move data
321,"(3, 7, 7)","(3, 8, 7)",Move data
322,"(3, 8, 6)","(3, 8, 7)",Move data
323,"(2, 8, 8)","(3, 8, 8)",Move data
324,"(3, 8, 7)","(3, 8, 8)",Move data
325,"(3, 8, 8)","(3, 8, 8)",Calculate
326,"(2, 9, 3)","(3, 9, 3)",Move data
327,"(3, 8, 3)","(3, 9, 3)",Move data
328,"(2, 9, 4)","(3, 9, 4)",Move data
329,"(3, 8, 4)","(3, 9, 4)",Move data
330,"(3, 9, 3)","(3, 9, 4)",Move data
331,"(2, 9, 5)","(3, 9, 5)",Move data
332,"(3, 8, 5)","(3, 9, 5)",Move data
333,"(3, 9, 4)","(3, 9, 5)",Move data
334,"(2, 9, 6)","(3, 9, 6)",Move data
335,"(3, 8, 6)","(3, 9, 6)",Move data
336,"(3, 9, 5)","(3, 9, 6)",Move data
337,"(2, 9, 7)","(3, 9, 7)",Move data
338,"(3, 8, 7)","(3, 9, 7)",Move data
339,"(3, 9, 6)","(3, 9, 7)",Move data
340,"(2, 9, 8)","(3, 9, 8)",Move data
341,"(3, 8, 8)","(3, 9, 8)",Move data
342,"(3, 9, 7)","(3, 9, 8)",Move data
343,"(2, 9, 9)","(3, 9, 9)",Move data
344,"(3, 9, 8)","(3, 9, 9)",Move data
345,"(3, 9, 9)","(3, 9, 9)",Calculate
346,"(2, 10, 3)","(3, 10, 3)",Move data
347,"(3, 9, 3)","(3, 10, 3)",Move data
348,"(2, 10, 4)","(3, 10, 4)",Move data
349,"(3, 9, 4)","(3, 10, 4)",Move data
350,"(3, 10, 3)","(3, 10, 4)",Move data
351,"(2, 10, 5)","(3, 10, 5)",Move data
352,"(3, 9, 5)","(3, 10, 5)",Move data
353,"(3, 10, 4)","(3, 10, 5)",Move data
354,"(2, 10, 6)","(3, 10, 6)",Move data
355,"(3, 9, 6)","(3, 10, 6)",Move data
356,"(3, 10, 5)","(3, 10, 6)",Move data
357,"(2, 10, 7)","(3, 10, 7)",Move data
358,"(3, 9, 7)","(3, 10, 7)",Move data
359,"(3, 10, 6)","(3, 10, 7)",Move data
360,"(2, 10, 8)","(3, 10, 8)",Move data
361,"(3, 9, 8)","(3, 10, 8)",Move data
362,"(3, 10, 7)","(3, 10, 8)",Move data
363,"(2, 10, 9)","(3, 10, 9)",Move data
364,"(3, 9, 9)","(3, 10, 9)",Move data
365,"(3, 10, 8)","(3, 10, 9)",Move data
366,"(2, 10, 10)","(3, 10, 10)",Move data
367,"(3, 10, 9)","(3, 10, 10)",Move data
368,"(3, 10, 10)","(3, 10, 10)",Calculate
369,"(3, 4, 4)","(4, 4, 4)",Move data
370,"(3, 5, 4)","(4, 5, 4)",Move data
371,"(4, 4, 4)","(4, 5, 4)",Move data
372,"(3, 5, 5)","(4, 5, 5)",Move data
373,"(4, 5, 4)","(4, 5, 5)",Move data
374,"(4, 5, 5)","(4, 5, 5)",Calculate
375,"(3, 6, 4)","(4, 6, 4)",Move data
376,"(4, 5, 4)","(4, 6, 4)",Move data
377,"(3, 6, 5)","(4, 6, 5)",Move data
378,"(4, 5, 5)","(4, 6, 5)",Move data
379,"(4, 6, 4)","(4, 6, 5)",Move data
380,"(3, 6, 6)","(4, 6, 6)",Move data
381,"(4, 6, 5)","(4, 6, 6)",Move data
382,"(4, 6, 6)","(4, 6, 6)",Calculate
383,"(3, 7, 4)","(4, 7, 4)",Move data
384,"(4, 6, 4)","(4, 7, 4)",Move data
385,"(3, 7, 5)","(4, 7, 5)",Move data
386,"(4, 6, 5)","(4, 7, 5)",Move data
387,"(4, 7, 4)","(4, 7, 5)",Move data
388,"(3, 7, 6)","(4, 7, 6)",Move data
389,"(4, 6, 6)","(4, 7, 6)",Move data
390,"(4, 7, 5)","(4, 7, 6)",Move data
391,"(3, 7, 7)","(4, 7, 7)",Move data
392,"(4, 7, 6)","(4, 7, 7)",Move data
393,"(4, 7, 7)","(4, 7, 7)",Calculate
394,"(3, 8, 4)","(4, 8, 4)",Move data
395,"(4, 7, 4)","(4, 8, 4)",Move data
396,"(3, 8, 5)","(4, 8, 5)",Move data
397,"(4, 7, 5)","(4, 8, 5)",Move data
398,"(4, 8, 4)","(4, 8, 5)",Move data
399,"(3, 8, 6)","(4, 8, 6)",Move data
400,"(4, 7, 6)","(4, 8, 6)",Move data
401,"(4, 8, 5)","(4, 8, 6)",Move data
402,"(3, 8, 7)","(4, 8, 7)",Move data
403,"(4, 7, 7)","(4, 8, 7)",Move data
404,"(4, 8, 6)","(4, 8, 7)",Move data
405,"(3, 8, 8)","(4, 8, 8)",Move data
406,"(4, 8, 7)","(4, 8, 8)",Move data
407,"(4, 8, 8)","(4, 8, 8)",Calculate
408,"(3, 9, 4)","(4, 9, 4)",Move data
409,"(4, 8, 4)","(4, 9, 4)",Move data
410,"(3, 9, 5)","(4, 9, 5)",Move data
411,"(4, 8, 5)","(4, 9, 5)",Move data
412,"(4, 9, 4)","(4, 9, 5)",Move data
413,"(3, 9, 6)","(4, 9, 6)",Move data
414,"(4, 8, 6)","(4, 9, 6)",Move data
415,"(4, 9, 5)","(4, 9, 6)",Move data
416,"(3, 9, 7)","(4, 9, 7)",Move data
417,"(4, 8, 7)","(4, 9, 7)",Move data
418,"(4, 9, 6)","(4, 9, 7)",Move data
419,"(3, 9, 8)","(4, 9, 8)",Move data
420,"(4, 8, 8)","(4, 9, 8)",Move data
421,"(4, 9, 7)","(4, 9, 8)",Move data
422,"(3, 9, 9)","(4, 9, 9)",Move data
423,"(4, 9, 8)","(4, 9, 9)",Move data
424,"(4, 9, 9)","(4, 9, 9)",Calculate
425,"(3, 10, 4)","(4, 10, 4)",Move data
426,"(4, 9, 4)","(4, 10, 4)",Move data
427,"(3, 10, 5)","(4, 10, 5)",Move data
428,"(4, 9, 5)","(4, 10, 5)",Move data
429,"(4, 10, 4)","(4, 10, 5)",Move data
430,"(3, 10, 6)","(4, 10, 6)",Move data
431,"(4, 9, 6)","(4, 10, 6)",Move data
432,"(4, 10, 5)","(4, 10, 6)",Move data
433,"(3, 10, 7)","(4, 10, 7)",Move data
434,"(4, 9, 7)","(4, 10, 7)",Move data
435,"(4, 10, 6)","(4, 10, 7)",Move data
436,"(3, 10, 8)","(4, 10, 8)",Move data
437,"(4, 9, 8)","(4, 10, 8)",Move data
438,"(4, 10, 7)","(4, 10, 8)",Move data
439,"(3, 10, 9)","(4, 10, 9)",Move data
440,"(4, 9, 9)","(4, 10, 9)",Move data
441,"(4, 10, 8)","(4, 10, 9)",Move data
442,"(3, 10, 10)","(4, 10, 10)",Move data
443,"(4, 10, 9)","(4, 10, 10)",Move data
444,"(4, 10, 10)","(4, 10, 10)",Calculate
445,"(4, 5, 5)","(5, 5, 5)",Move data
446,"(4, 6, 5)","(5, 6, 5)",Move data
447,"(5, 5, 5)","(5, 6, 5)",Move data
448,"(4, 6, 6)","(5, 6, 6)",Move data
449,"(5, 6, 5)","(5, 6, 6)",Move data
450,"(5, 6, 6)","(5, 6, 6)",Calculate
451,"(4, 7, 5)","(5, 7, 5)",Move data
452,"(5, 6, 5)","(5, 7, 5)",Move data
453,"(4, 7, 6)","(5, 7, 6)",Move data
454,"(5, 6, 6)","(5, 7, 6)",Move data
455,"(5, 7, 5)","(5, 7, 6)",Move data
456,"(4, 7, 7)","(5, 7, 7)",Move data
457,"(5, 7, 6)","(5, 7, 7)",Move data
458,"(5, 7, 7)","(5, 7, 7)",Calculate
459,"(4, 8, 5)","(5, 8, 5)",Move data
460,"(5, 7, 5)","(5, 8, 5)",Move data
461,"(4, 8, 6)","(5, 8, 6)",Move data
462,"(5, 7, 6)","(5, 8, 6)",Move data
463,"(5, 8, 5)","(5, 8, 6)",Move data
464,"(4, 8, 7)","(5, 8, 7)",Move data
465,"(5, 7, 7)","(5, 8, 7)",Move data
466,"(5, 8, 6)","(5, 8, 7)",Move data
467,"(4, 8, 8)","(5, 8, 8)",Move data
468,"(5, 8, 7)","(5, 8, 8)",Move data
469,"(5, 8, 8)","(5, 8, 8)",Calculate
470,"(4, 9, 5)","(5, 9, 5)",Move data
471,"(5, 8, 5)","(5, 9, 5)",Move data
472,"(4, 9, 6)","(5, 9, 6)",Move data
473,"(5, 8, 6)","(5, 9, 6)",Move data
474,"(5, 9, 5)","(5, 9, 6)",Move data
475,"(4, 9, 7)","(5, 9, 7)",Move data
476,"(5, 8, 7)","(5, 9, 7)",Move data
477,"(5, 9, 6)","(5, 9, 7)",Move data
478,"(4, 9, 8)","(5, 9, 8)",Move data
479,"(5, 8, 8)","(5, 9, 8)",Move data
480,"(5, 9, 7)","(5, 9, 8)",Move data
481,"(4, 9, 9)","(5, 9, 9)",Move data
482,"(5, 9, 8)","(5, 9, 9)",Move data
483,"(5, 9, 9)","(5, 9, 9)",Calculate
484,"(4, 10, 5)","(5, 10, 5)",Move data
485,"(5, 9, 5)","(5, 10, 5)",Move data
486,"(4, 10, 6)","(5, 10, 6)",Move data
487,"(5, 9, 6)","(5, 10, 6)",Move data
488,"(5, 10, 5)","(5, 10, 6)",Move data
489,"(4, 10, 7)","(5, 10, 7)",Move data
490,"(5, 9, 7)","(5, 10, 7)",Move data
491,"(5, 10, 6)","(5, 10, 7)",Move data
492,"(4, 10, 8)","(5, 10, 8)",Move data
493,"(5, 9, 8)","(5, 10, 8)",Move data
494,"(5, 10, 7)","(5, 10, 8)",Move data
495,"(4, 10, 9)","(5, 10, 9)",Move data
496,"(5, 9, 9)","(5, 10, 9)",Move data
497,"(5, 10, 8)","(5, 10, 9)",Move data
498,"(4, 10, 10)","(5, 10, 10)",Move data
499,"(5, 10, 9)","(5, 10, 10)",Move data
500,"(5, 10, 10)","(5, 10, 10)",Calculate
501,"(5, 6, 6)","(6, 6, 6)",Move data
502,"(5, 7, 6)","(6, 7, 6)",Move data
503,"(6, 6, 6)","(6, 7, 6)",Move data
504,"(5, 7, 7)","(6, 7, 7)",Move data
505,"(6, 7, 6)","(6, 7, 7)",Move data
506,"(6, 7, 7)","(6, 7, 7)",Calculate
507,"(5, 8, 6)","(6, 8, 6)",Move data
508,"(6, 7, 6)","(6, 8, 6)",Move data
509,"(5, 8, 7)","(6, 8, 7)",Move data
510,"(6, 7, 7)","(6, 8, 7)",Move data
511,"(6, 8, 6)","(6, 8, 7)",Move data
512,"(5, 8, 8)","(6, 8, 8)",Move data
513,"(6, 8, 7)","(6, 8, 8)",Move data
